ID,STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,State,AllAge_B_AA_Rate,AllAge_B_Lower_CI,AllAge_B_Upper_CI,AllAge_B_Average_Count,AllAge_B_Recent_Trend,AllAge_B_Recent_5yr_Trend,AllAge_B_Lower_Trend_CI,AllAge_B_Upper_Trend_CI,AllAge_M_AA_Rate,AllAge_M_Lower_CI,AllAge_M_Upper_CI,AllAge_M_Average_Count,AllAge_M_Recent_Trend,AllAge_M_Recent_5yr_Trend,AllAge_M_Lower_Trend_CI,AllAge_M_Upper_Trend_CI,AllAge_F_AA_Rate,AllAge_F_Lower_CI,AllAge_F_Upper_CI,AllAge_F_Average_Count,AllAge_F_Recent_Trend,AllAge_F_Recent_5yr_Trend,AllAge_F_Lower_Trend_CI,AllAge_F_Upper_Trend_CI,Under50_B_AA_Rate,Under50_B_Lower_CI,Under50_B_Upper_CI,Under50_B_Average_Count,Under50_B_Recent_Trend,Under50_B_Recent_5yr_Trend,Under50_B_Lower_Trend_CI,Under50_B_Upper_Trend_CI,Under50_M_AA_Rate,Under50_M_Lower_CI,Under50_M_Upper_CI,Under50_M_Average_Count,Under50_M_Recent_Trend,Under50_M_Recent_5yr_Trend,Under50_M_Lower_Trend_CI,Under50_M_Upper_Trend_CI,Under50_F_AA_Rate,Under50_F_Lower_CI,Under50_F_Upper_CI,Under50_F_Average_Count,Under50_F_Recent_Trend,Under50_F_Recent_5yr_Trend,Under50_F_Lower_Trend_CI,Under50_F_Upper_Trend_CI,Age50over_B_AA_Rate,Age50over_B_Lower_CI,Age50over_B_Upper_CI,Age50over_B_Average_Count,Age50over_B_Recent_Trend,Age50over_B_Recent_5yr_Trend,Age50over_B_Lower_Trend_CI,Age50over_B_Upper_Trend_CI,Age50over_M_AA_Rate,Age50over_M_Lower_CI,Age50over_M_Upper_CI,Age50over_M_Average_Count,Age50over_M_Recent_Trend,Age50over_M_Recent_5yr_Trend,Age50over_M_Lower_Trend_CI,Age50over_M_Upper_Trend_CI,Age50over_F_AA_Rate,Age50over_F_Lower_CI,Age50over_F_Upper_CI,Age50over_F_Average_Count,Age50over_F_Recent_Trend,Age50over_F_Recent_5yr_Trend,Age50over_F_Lower_Trend_CI,Age50over_F_Upper_Trend_CI,Under65_B_AA_Rate,Under65_B_Lower_CI,Under65_B_Upper_CI,Under65_B_Average_Count,Under65_B_Recent_Trend,Under65_B_Recent_5yr_Trend,Under65_B_Lower_Trend_CI,Under65_B_Upper_Trend_CI,Under65_M_AA_Rate,Under65_M_Lower_CI,Under65_M_Upper_CI,Under65_M_Average_Count,Under65_M_Recent_Trend,Under65_M_Recent_5yr_Trend,Under65_M_Lower_Trend_CI,Under65_M_Upper_Trend_CI,Under65_F_AA_Rate,Under65_F_Lower_CI,Under65_F_Upper_CI,Under65_F_Average_Count,Under65_F_Recent_Trend,Under65_F_Recent_5yr_Trend,Under65_F_Lower_Trend_CI,Under65_F_Upper_Trend_CI,Age65over_B_AA_Rate,Age65over_B_Lower_CI,Age65over_B_Upper_CI,Age65over_B_Average_Count,Age65over_B_Recent_Trend,Age65over_B_Recent_5yr_Trend,Age65over_B_Lower_Trend_CI,Age65over_B_Upper_Trend_CI,Age65over_M_AA_Rate,Age65over_M_Lower_CI,Age65over_M_Upper_CI,Age65over_M_Average_Count,Age65over_M_Recent_Trend,Age65over_M_Recent_5yr_Trend,Age65over_M_Lower_Trend_CI,Age65over_M_Upper_Trend_CI,Age65over_F_AA_Rate,Age65over_F_Lower_CI,Age65over_F_Upper_CI,Age65over_F_Average_Count,Age65over_F_Recent_Trend,Age65over_F_Recent_5yr_Trend,Age65over_F_Lower_Trend_CI,Age65over_F_Upper_Trend_CI,Shape__Area,Shape__Length,Total_Rate,STATE_X,STATE_Y
18,New Mexico,35,Mountain,NM,"New Mexico(7,8)",45,38.45,40.71,983.4,falling,-2.29,-2.87,-1.71,45.49,43.71,47.32,515.4,falling,-2.7,-3.37,-2.02,34.88,33.46,36.35,468.0,falling,-2.4,-3.71,-1.07,1.75,1.43,2.11,21.2,stable,-0.95,-2.26,0.38,1.79,1.35,2.34,10.8,falling,-9.0,-9.0,-9.0,1.7,1.27,2.23,10.4,falling,-9.0,-9.0,-9.0,138.6,134.65,142.63,962.2,falling,-2.08,-2.61,-1.55,159.92,153.6,166.42,504.6,falling,-1.86,-2.08,-1.63,121.75,116.75,126.91,457.6,falling,-1.52,-2.4,-0.64,10.28,9.7,10.88,248.8,falling,-2.19,-2.58,-1.8,10.76,9.92,11.66,126.4,falling,-2.71,-3.22,-2.2,9.85,9.06,10.69,122.4,falling,-1.58,-2.1,-1.07,242.02,234.17,250.06,734.6,falling,-2.24,-3.12,-1.34,285.57,272.81,298.78,389.0,falling,-1.59,-1.84,-1.33,207.92,198.14,218.06,345.6,falling,-1.92,-3.42,-0.39,30.9366471447765,23.5377110628728,84.49000000000001,7,8
19,North Dakota,38,West North Central,ND,"North Dakota(6,10)",57,54.94,59.65,478.0,stable,-2.45,-5.88,1.11,65.69,62.05,69.48,254.8,falling,-5.36,-9.61,-0.92,51.08,48.05,54.25,223.2,stable,0.39,-4.56,5.59,2.75,2.07,3.58,11.0,stable,8.12,-28.72,64.01,2.09,1.3,3.15,4.4,stable,2.33,-33.61,57.73,3.46,2.38,4.85,6.6,stable,12.77,-26.92,74.03,200.14,191.95,208.57,467.0,stable,-2.69,-6.81,1.61,232.32,219.34,245.86,250.4,falling,-5.43,-9.25,-1.45,175.94,165.43,186.94,216.6,stable,-0.09,-6.65,6.93,17.25,15.97,18.62,141.4,stable,-4.08,-15.92,9.42,17.46,15.7,19.38,75.0,stable,-5.52,-16.0,6.28,17.03,15.19,19.04,66.4,stable,-2.32,-17.31,15.4,333.83,317.83,350.4,336.6,stable,-1.93,-7.5,3.97,399.05,373.08,426.32,179.8,falling,-5.39,-9.16,-1.46,286.44,266.35,307.6,156.8,stable,1.5,-9.23,13.49,21.8748743179608,21.3533067050896,122.69,6,10
20,Oklahoma,40,West South Central,OK,"Oklahoma(6,10)",69,68.06,70.27,3110.0,stable,-2.63,-5.96,0.81,83.4,81.6,85.23,1700.2,stable,-3.87,-7.66,0.08,57.97,56.61,59.36,1409.8,stable,-1.41,-4.5,1.79,4.15,3.78,4.54,92.6,falling,-7.05,-13.44,-0.19,4.11,3.6,4.68,46.2,stable,-4.66,-17.07,9.62,4.19,3.66,4.76,46.4,stable,-8.88,-22.97,7.79,239.59,235.74,243.49,3017.4,stable,-2.43,-5.96,1.23,291.23,284.85,297.71,1654.0,stable,-3.84,-8.25,0.78,199.01,194.28,203.84,1363.4,stable,-0.97,-3.64,1.78,23.1,22.45,23.77,982.8,stable,-1.98,-5.38,1.53,25.38,24.41,26.38,532.4,stable,-2.55,-7.32,2.47,20.98,20.1,21.89,450.4,stable,-1.35,-5.16,2.63,387.5,380.11,395.0,2127.2,stable,-2.9,-7.31,1.71,484.45,471.9,497.24,1167.8,stable,-4.34,-9.79,1.44,313.65,304.77,322.72,959.4,stable,-1.44,-5.09,2.35,18.0314613558025,25.5572653850924,152.4,6,10
21,South Dakota,46,West North Central,SD,"South Dakota(6,10)",58,56.82,61.15,599.8,stable,-0.72,-4.18,2.86,67.92,64.55,71.42,317.8,stable,-3.56,-7.42,0.45,52.86,50.07,55.77,282.0,stable,2.45,-5.25,10.77,2.78,2.15,3.55,13.0,falling,-15.44,-26.75,-2.38,1.9,1.2,2.84,4.6,stable,-10.15,-42.87,41.31,3.71,2.67,5.01,8.4,stable,-17.87,-37.15,7.33,206.16,198.64,213.9,586.8,stable,-0.17,-3.69,3.47,240.89,228.86,253.38,313.2,stable,-3.43,-7.01,0.28,181.74,172.07,191.8,273.6,stable,3.66,-3.72,11.6,17.45,16.27,18.7,172.4,falling,-4.56,-8.79,-0.14,16.24,14.68,17.94,82.6,falling,-7.73,-13.72,-1.33,18.69,16.94,20.59,89.8,stable,-1.81,-12.13,9.72,345.82,331.1,361.02,427.4,stable,0.64,-3.12,4.55,425.14,400.88,450.48,235.2,stable,-2.46,-7.13,2.45,289.01,270.71,308.21,192.2,stable,4.38,-3.58,13.0,22.5981054170447,22.7465456461663,125.92,6,10
22,Texas,48,West South Central,TX,"Texas(6,10)",51,51.53,52.34,13258.4,falling,-3.42,-4.06,-2.78,63.4,62.73,64.08,7244.6,falling,-4.13,-4.63,-3.63,43.06,42.57,43.56,6013.8,falling,-2.73,-4.0,-1.45,2.61,2.5,2.72,439.2,falling,-6.05,-7.78,-4.29,2.52,2.37,2.68,212.4,stable,-5.67,-12.06,1.19,2.69,2.54,2.85,226.8,falling,-6.47,-9.7,-3.14,181.22,179.79,182.66,12818.2,falling,-3.32,-4.02,-2.62,222.94,220.53,225.36,7031.6,falling,-4.09,-4.56,-3.62,148.9,147.16,150.65,5786.6,falling,-2.56,-3.81,-1.29,15.01,14.81,15.22,4120.4,falling,-3.76,-4.24,-3.26,16.7,16.39,17.01,2248.8,falling,-4.48,-5.3,-3.66,13.44,13.17,13.72,1871.6,falling,-2.88,-4.27,-1.47,307.16,304.31,310.02,9138.0,falling,-3.31,-4.32,-2.3,386.26,381.37,391.19,4995.8,falling,-4.03,-4.61,-3.45,247.8,244.4,251.24,4142.2,falling,-2.68,-4.54,-0.79,65.059642312777,64.8074583774417,114.4,6,10
23,Utah,49,Mountain,UT,"Utah(7,8)",45,25.93,27.81,649.6,falling,-0.89,-1.17,-0.61,31.51,30.02,33.06,352.0,falling,-1.94,-2.29,-1.59,23.04,21.87,24.26,297.6,rising,0.46,0.02,0.89,1.41,1.16,1.69,23.4,falling,-1.81,-3.2,-0.4,1.27,0.95,1.66,10.6,falling,-9.0,-9.0,-9.0,1.55,1.19,1.98,12.8,stable,-0.69,-2.46,1.12,93.5,90.2,96.89,626.2,falling,-0.83,-1.1,-0.56,110.7,105.38,116.22,341.4,falling,-1.9,-2.26,-1.54,79.31,75.19,83.6,284.8,rising,0.54,0.13,0.95,7.96,7.47,8.47,202.6,falling,-2.1,-2.45,-1.76,8.41,7.71,9.17,106.4,falling,-3.0,-3.4,-2.59,7.53,6.86,8.24,96.2,falling,-0.94,-1.42,-0.45,157.49,150.96,164.23,447.0,falling,-0.37,-0.7,-0.04,191.19,180.49,202.35,245.6,falling,-1.57,-2.01,-1.13,130.25,122.26,138.63,201.4,rising,1.16,0.6,1.72,22.9674234859051,19.9922227348698,57.510000000000005,7,8
24,Wyoming,56,Mountain,WY,"Wyoming(6,10)",45,41.81,46.47,294.8,stable,-1.19,-9.4,7.76,46.16,42.76,49.77,146.8,stable,-0.69,-8.88,8.25,42.75,39.66,46.04,148.0,stable,-2.06,-13.1,10.38,2.65,1.91,3.56,8.6,stable,4.21,-30.76,56.83,2.27,1.37,3.53,3.8,stable,0.0,0.0,0.0,3.05,1.95,4.52,4.8,stable,1.72,-43.08,81.8,152.74,144.73,161.07,286.2,stable,-1.35,-9.95,8.06,161.21,149.16,173.96,143.0,stable,-1.15,-9.75,8.26,146.88,136.12,158.26,143.2,stable,-1.9,-12.62,10.13,13.76,12.51,15.11,95.8,stable,-2.14,-10.51,7.0,12.45,10.82,14.27,45.2,stable,3.2,-6.62,14.04,15.11,13.23,17.2,50.6,stable,-6.5,-13.5,1.07,253.73,237.96,270.26,199.0,stable,-0.88,-9.7,8.81,279.22,254.89,305.24,101.6,stable,-1.88,-10.64,7.74,233.86,213.28,255.87,97.4,stable,-0.07,-13.81,15.85,27.9666882988358,21.9870299737593,90.16,6,10
25,Alabama,1,East South Central,AL,"Alabama(6,10)",66,65.47,67.35,3966.0,falling,-2.38,-3.59,-1.15,87.28,85.65,88.94,2307.6,falling,-3.23,-4.8,-1.63,50.49,49.39,51.6,1658.4,stable,-1.45,-3.35,0.49,4.43,4.1,4.78,131.2,stable,-8.05,-16.27,0.99,4.83,4.33,5.36,69.6,falling,-10.34,-14.82,-5.62,4.06,3.61,4.54,61.6,stable,-5.28,-19.65,11.67,228.92,225.65,232.23,3834.8,falling,-2.09,-3.38,-0.78,303.45,297.69,309.3,2238.0,falling,-2.93,-4.74,-1.08,172.27,168.48,176.12,1596.8,falling,-1.22,-2.35,-0.08,24.7,24.11,25.31,1390.2,falling,-1.61,-2.9,-0.31,29.84,28.91,30.8,809.8,stable,-1.94,-5.28,1.53,19.98,19.25,20.75,580.4,stable,-1.12,-4.5,2.37,354.69,348.53,360.94,2575.8,falling,-2.74,-4.14,-1.33,484.34,473.16,495.71,1497.8,falling,-3.77,-5.13,-2.4,261.32,254.34,268.45,1078.0,stable,-1.62,-3.37,0.17,12.8971685481513,17.2376579256252,153.28,6,10
26,Connecticut,9,New England,CT,"Connecticut(7,8)",59,58.78,60.85,2684.4,falling,-1.64,-2.09,-1.2,65.56,63.93,67.21,1299.8,falling,-1.66,-1.83,-1.49,55.82,54.48,57.18,1384.6,falling,-1.19,-1.79,-0.57,3.16,2.84,3.5,75.0,falling,-3.11,-3.53,-2.69,3.0,2.57,3.49,35.2,falling,-3.56,-4.2,-2.91,3.3,2.86,3.8,39.8,falling,-2.74,-3.39,-2.09,208.17,204.55,211.84,2609.4,falling,-1.51,-1.95,-1.07,229.36,223.6,235.22,1264.6,falling,-1.58,-1.75,-1.4,193.33,188.64,198.1,1344.8,falling,-0.99,-1.64,-0.35,17.46,16.9,18.03,770.4,falling,-2.35,-2.55,-2.15,17.65,16.85,18.48,379.8,falling,-2.92,-3.2,-2.65,17.29,16.52,18.1,390.6,falling,-1.74,-2.06,-1.43,352.59,345.44,359.84,1914.0,falling,-1.49,-2.11,-0.86,396.72,385.16,408.54,920.0,falling,-2.23,-3.29,-1.17,322.1,313.01,331.38,994.0,falling,-1.1,-2.09,-0.1,1.3925246586814,5.72245921996374,124.56,7,8
27,Delaware,10,South Atlantic,DE,"Delaware(6,10)",69,67.33,71.64,832.0,stable,-0.54,-3.61,2.62,78.9,75.49,82.43,420.2,stable,-0.75,-7.64,6.64,62.63,59.91,65.46,411.8,stable,-0.48,-1.65,0.71,5.0,4.21,5.9,28.2,stable,-4.18,-27.73,27.03,4.65,3.57,5.95,12.6,stable,-0.26,-27.35,36.95,5.33,4.2,6.66,15.6,stable,-7.4,-30.64,23.63,238.48,231.07,246.07,803.8,stable,-0.3,-3.08,2.55,273.56,261.57,285.96,407.6,stable,-0.81,-7.4,6.26,212.96,203.58,222.66,396.2,stable,0.09,-2.52,2.77,22.53,21.25,23.87,246.2,stable,-2.67,-5.57,0.31,21.93,20.12,23.87,114.2,stable,-4.25,-14.27,6.96,23.1,21.31,25.0,132.0,stable,-1.06,-4.51,2.51,393.85,379.55,408.56,585.8,stable,0.31,-2.92,3.66,472.67,448.85,497.44,306.0,stable,0.45,-6.11,7.46,335.93,318.36,354.21,279.8,stable,-0.19,-2.32,1.99,0.553340464575967,4.07536505545892,147.9,6,10
28,District of Columbia,11,South Atlantic,DC,"District of Columbia(6,10)",49,47.18,52.18,319.4,falling,-10.63,-11.65,-9.59,54.47,50.54,58.61,152.0,falling,-14.03,-17.94,-9.94,46.12,42.98,49.43,167.4,falling,-7.31,-12.22,-2.13,3.34,2.57,4.27,12.8,stable,-7.45,-35.65,33.12,2.6,1.67,3.84,5.0,stable,0.34,-36.13,57.62,4.09,2.9,5.59,7.8,stable,-10.56,-43.62,41.88,171.03,162.4,180.0,306.6,falling,-10.83,-13.26,-8.34,190.42,176.46,205.18,147.0,falling,-14.56,-19.57,-9.23,156.39,145.53,167.84,159.6,falling,-6.98,-13.04,-0.51,20.82,19.24,22.5,131.8,falling,-7.44,-11.14,-3.59,21.31,19.03,23.79,64.6,falling,-15.17,-21.26,-8.62,20.48,18.3,22.85,67.2,stable,0.18,-10.17,11.73,248.81,232.87,265.55,187.6,falling,-12.43,-15.26,-9.51,283.68,257.16,312.2,87.4,falling,-13.46,-16.37,-10.45,223.37,203.86,244.23,100.2,falling,-11.73,-16.38,-6.82,0.0177698305828926,0.632462400895921,103.47,6,10
29,Florida,12,South Atlantic,FL,"Florida(6,10)",58,58.57,59.38,16859.2,falling,-3.35,-3.94,-2.75,68.34,67.7,68.99,8937.2,falling,-3.72,-4.8,-2.63,51.29,50.78,51.81,7922.0,falling,-2.98,-3.83,-2.13,3.83,3.67,3.99,470.2,falling,-6.05,-8.48,-3.55,3.77,3.56,4.0,230.0,stable,-4.62,-9.51,0.54,3.88,3.66,4.11,240.2,falling,-7.34,-11.25,-3.26,203.58,202.18,204.98,16389.0,falling,-3.21,-3.95,-2.47,237.62,235.38,239.87,8707.2,falling,-3.67,-4.83,-2.51,175.63,173.86,177.42,7681.8,falling,-2.73,-3.64,-1.81,20.83,20.56,21.1,4835.8,falling,-3.55,-4.27,-2.82,23.11,22.71,23.52,2579.8,falling,-4.22,-5.78,-2.63,18.79,18.44,19.15,2256.0,falling,-2.77,-5.01,-0.49,322.68,320.09,325.28,12023.4,falling,-3.26,-3.79,-2.71,381.0,376.8,385.24,6357.4,falling,-3.5,-4.81,-2.17,275.94,272.71,279.2,5666.0,falling,-3.09,-3.92,-2.25,13.3476723757465,41.0850101653537,126.34,6,10
30,Georgia,13,South Atlantic,GA,"Georgia(7,8)",64,63.35,64.76,6658.2,falling,-2.03,-2.61,-1.46,81.21,79.99,82.45,3711.6,falling,-2.37,-2.56,-2.18,51.29,50.45,52.14,2946.6,falling,-1.65,-2.23,-1.06,3.42,3.22,3.62,232.4,falling,-8.81,-12.3,-5.18,3.57,3.29,3.87,118.4,falling,-5.86,-6.72,-5.01,3.27,3.01,3.55,114.0,falling,-6.01,-7.5,-4.5,222.83,220.33,225.34,6425.8,falling,-1.29,-1.52,-1.05,284.52,280.16,288.93,3593.2,falling,-2.21,-2.41,-2.01,177.01,174.06,180.0,2832.6,falling,-1.31,-1.95,-0.66,20.95,20.57,21.34,2302.4,falling,-2.68,-2.97,-2.39,24.64,24.04,25.25,1299.4,falling,-3.35,-3.71,-2.99,17.64,17.15,18.14,1003.0,falling,-1.69,-2.18,-1.2,361.98,357.09,366.92,4355.8,falling,-1.76,-2.37,-1.15,472.26,463.54,481.11,2412.2,falling,-1.99,-2.23,-1.75,283.86,278.16,289.64,1943.6,falling,-1.17,-1.89,-0.44,14.5988274161541,20.103467490377,145.20999999999998,7,8
31,Illinois,17,East North Central,IL,"Illinois(6,10)",64,64.07,65.26,9426.0,stable,-1.47,-3.5,0.61,75.33,74.36,76.31,4845.0,falling,-2.62,-4.0,-1.22,56.97,56.22,57.72,4581.0,stable,-0.34,-3.7,3.13,3.43,3.25,3.61,278.0,stable,-5.02,-10.03,0.28,3.17,2.93,3.43,127.6,stable,-6.85,-14.23,1.16,3.68,3.42,3.95,150.4,stable,-3.47,-9.27,2.7,225.19,223.1,227.3,9147.8,stable,-1.32,-3.25,0.64,264.44,260.99,267.92,4717.2,falling,-2.49,-3.78,-1.17,196.69,194.07,199.33,4430.6,stable,-0.19,-3.48,3.21,19.72,19.4,20.05,2893.6,stable,-2.09,-5.35,1.27,21.13,20.65,21.62,1520.2,falling,-3.7,-7.24,-0.03,18.42,17.98,18.88,1373.4,stable,-0.33,-4.54,4.06,375.31,371.21,379.46,6532.4,stable,-1.23,-3.0,0.58,450.01,443.09,457.01,3324.8,falling,-2.26,-3.1,-1.42,323.38,318.32,328.5,3207.6,stable,-0.33,-3.83,3.29,15.3968655289839,19.999224574267,139.32999999999998,6,10
32,Indiana,18,East North Central,IN,"Indiana(6,10)",72,72.02,73.77,5542.2,stable,-0.45,-3.25,2.42,88.19,86.74,89.65,3001.0,stable,-1.31,-4.2,1.66,61.29,60.21,62.39,2541.2,stable,0.42,-2.71,3.66,5.37,5.05,5.7,215.2,stable,-4.0,-10.58,3.06,5.32,4.88,5.8,106.6,stable,-5.89,-14.38,3.44,5.41,4.96,5.89,108.6,stable,-2.13,-11.01,7.64,249.98,246.94,253.05,5327.0,stable,-0.25,-2.93,2.49,305.44,300.34,310.6,2894.4,stable,-1.1,-3.77,1.64,207.89,204.17,211.67,2432.6,stable,0.59,-2.43,3.71,24.99,24.47,25.52,1855.4,stable,0.31,-3.25,3.99,27.46,26.7,28.25,1009.0,stable,-0.59,-3.4,2.3,22.65,21.95,23.36,846.4,stable,1.37,-3.76,6.76,404.01,398.13,409.95,3686.8,stable,-0.78,-3.48,2.0,507.93,497.82,518.19,1992.0,stable,-1.58,-4.55,1.48,328.43,321.38,335.58,1694.8,stable,-0.03,-2.96,3.0,9.9321297246986,16.1103069475945,160.19,6,10
33,Kentucky,21,East South Central,KY,"Kentucky(7,8)",75,91.07,93.43,4886.2,falling,-1.92,-2.69,-1.16,111.25,109.3,113.23,2644.2,falling,-1.85,-2.1,-1.6,77.84,76.39,79.32,2242.0,falling,-1.51,-2.28,-0.74,6.94,6.51,7.39,194.2,falling,-6.2,-9.06,-3.25,6.73,6.14,7.37,94.2,falling,-3.48,-4.72,-2.23,7.14,6.53,7.8,100.0,falling,-7.12,-11.26,-2.8,315.62,311.53,319.75,4692.0,falling,-1.66,-2.48,-0.84,384.94,378.06,391.9,2550.0,falling,-1.76,-2.0,-1.52,262.98,257.97,268.07,2142.0,falling,-0.67,-1.25,-0.1,34.15,33.42,34.9,1745.6,falling,-1.37,-1.65,-1.09,37.95,36.86,39.07,952.6,falling,-2.1,-2.43,-1.76,30.62,29.65,31.62,793.0,falling,-0.45,-0.84,-0.06,493.77,485.98,501.65,3140.6,falling,-1.96,-2.84,-1.08,617.94,604.51,631.6,1691.6,falling,-1.75,-2.03,-1.46,404.29,394.94,413.8,1449.0,falling,-0.85,-1.68,-0.02,10.6453959661208,21.1523487300401,203.25,7,8
34,Maine,23,New England,ME,"Maine(6,10)",73,71.92,75.47,1394.6,stable,-1.25,-3.55,1.11,83.34,80.57,86.19,723.2,stable,-2.02,-6.83,3.04,66.34,64.06,68.69,671.4,stable,-0.47,-3.5,2.66,6.36,5.62,7.18,53.6,stable,0.92,-19.86,27.08,6.27,5.24,7.46,26.2,stable,-2.71,-34.8,45.17,6.44,5.4,7.63,27.4,stable,5.04,-21.47,40.48,250.27,244.22,256.43,1341.0,stable,-1.35,-4.13,1.5,285.47,275.83,295.35,697.0,stable,-1.89,-7.56,4.13,223.51,215.74,231.48,644.0,stable,-0.82,-3.13,1.54,25.44,24.34,26.57,444.6,stable,0.75,-5.18,7.05,27.57,25.96,29.26,238.0,stable,-0.42,-8.22,8.04,23.43,21.96,25.0,206.6,stable,2.01,-7.31,12.26,407.13,395.49,419.04,950.0,stable,-2.08,-4.43,0.33,468.86,450.03,488.28,485.2,stable,-2.62,-8.64,3.79,362.92,348.11,378.18,464.8,stable,-1.54,-5.55,2.63,9.57069799757346,18.8987201297675,156.34,6,10
35,Maryland,24,South Atlantic,MD,"Maryland(6,10)",56,55.61,57.26,3788.0,falling,-1.81,-2.87,-0.74,63.75,62.42,65.09,1876.2,falling,-2.74,-4.09,-1.37,51.09,50.05,52.15,1911.8,falling,-1.05,-1.92,-0.17,3.45,3.19,3.72,135.6,stable,-8.45,-21.68,7.0,3.32,2.96,3.71,63.0,stable,-4.93,-17.79,9.94,3.56,3.2,3.95,72.6,stable,-11.41,-26.21,6.36,195.34,192.46,198.26,3652.4,stable,-1.49,-3.04,0.09,222.15,217.46,226.92,1813.2,falling,-2.64,-4.18,-1.07,175.73,172.09,179.42,1839.2,stable,-0.46,-2.2,1.31,17.29,16.85,17.74,1205.4,falling,-4.03,-7.6,-0.32,18.3,17.65,18.98,610.8,falling,-4.37,-7.79,-0.81,16.4,15.8,17.01,594.6,stable,-3.72,-7.51,0.23,326.95,321.25,332.72,2582.6,stable,-0.99,-2.84,0.9,377.88,368.44,387.49,1265.4,falling,-2.17,-4.16,-0.14,290.91,283.81,298.14,1317.2,stable,0.0,-1.96,2.0,2.62515321168507,21.8809236014951,119.75,6,10
36,Massachusetts,25,New England,MA,"Massachusetts(7,8)",61,61.04,62.6,5023.4,falling,-2.42,-2.92,-1.91,66.28,65.06,67.52,2360.2,falling,-3.31,-4.05,-2.57,59.08,58.06,60.11,2663.2,falling,-1.92,-2.54,-1.29,3.52,3.28,3.78,156.4,falling,-7.01,-9.44,-4.51,2.97,2.65,3.31,64.4,falling,-5.03,-6.29,-3.75,4.04,3.68,4.43,92.0,falling,-3.03,-4.68,-1.36,214.46,211.73,217.22,4867.0,falling,-2.22,-2.82,-1.62,232.06,227.73,236.45,2295.8,falling,-3.19,-4.0,-2.37,203.18,199.62,206.79,2571.2,falling,-1.61,-2.33,-0.89,18.62,18.2,19.06,1492.4,falling,-3.37,-3.85,-2.88,18.15,17.54,18.77,707.2,falling,-3.45,-3.8,-3.09,19.08,18.48,19.71,785.2,falling,-2.25,-2.64,-1.86,360.36,354.98,365.8,3531.0,falling,-2.04,-2.77,-1.3,398.97,390.29,407.81,1653.0,falling,-3.07,-3.99,-2.15,335.52,328.63,342.52,1878.0,falling,-1.5,-2.38,-0.61,2.30920890908374,13.1051255952023,127.28,7,8
37,Michigan,26,East North Central,MI,"Michigan(5,10)",64,63.39,64.68,7881.2,falling,-2.36,-4.36,-0.32,73.23,72.2,74.27,4070.6,falling,-3.02,-4.18,-1.85,57.17,56.35,58.01,3810.6,stable,-1.77,-5.07,1.64,4.28,4.05,4.52,260.8,stable,-2.28,-7.45,3.18,4.0,3.68,4.33,120.2,stable,-2.41,-6.03,1.34,4.56,4.23,4.91,140.6,stable,-2.16,-10.12,6.51,220.68,218.43,222.94,7619.8,falling,-2.36,-4.24,-0.45,254.7,251.06,258.37,3950.0,falling,-3.04,-4.15,-1.92,195.16,192.3,198.05,3669.8,stable,-1.75,-4.89,1.5,21.72,21.34,22.11,2605.6,stable,-0.9,-2.37,0.58,22.71,22.16,23.27,1344.2,stable,-1.64,-3.88,0.65,20.81,20.28,21.34,1261.4,stable,-0.15,-2.15,1.89,356.49,352.14,360.87,5275.6,falling,-2.97,-5.36,-0.52,422.47,415.28,429.75,2726.4,falling,-3.53,-4.42,-2.63,308.56,303.16,314.04,2549.2,stable,-2.52,-6.55,1.69,16.9282599385151,40.8232803906759,137.23000000000002,5,10
38,Mississippi,28,East South Central,MS,"Mississippi(6,10)",75,74.22,76.86,2614.6,stable,-0.8,-2.06,0.48,99.46,97.16,101.79,1522.0,stable,-1.71,-4.15,0.79,57.39,55.85,58.95,1092.6,stable,0.32,-1.9,2.59,5.22,4.76,5.72,92.6,stable,-7.24,-14.34,0.44,5.27,4.6,6.0,45.0,stable,-2.51,-10.58,6.29,5.18,4.54,5.88,47.6,falling,-11.63,-19.44,-3.05,259.89,255.31,264.53,2522.0,stable,-0.46,-1.72,0.81,346.36,338.26,354.62,1477.0,stable,-1.68,-4.21,0.91,194.35,189.07,199.74,1045.0,stable,1.17,-0.83,3.22,28.23,27.41,29.07,937.4,stable,-0.84,-4.01,2.44,34.1,32.81,35.42,548.8,stable,-1.3,-6.37,4.04,22.89,21.85,23.96,388.6,stable,-0.14,-3.75,3.61,402.5,393.83,411.3,1677.2,falling,-0.78,-1.47,-0.08,551.25,535.48,567.37,973.2,stable,-1.88,-3.81,0.08,295.86,286.09,305.88,704.0,stable,0.56,-1.03,2.17,11.8710687365776,22.0600157446381,174.45999999999998,6,10
